blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,blueWin
-9,0,0,-3405,339,-3955,0
-5,-1,0,-681,-666,-8466,0
-2,-1,0,830,-756,4242,0
2,1,0,1140,689,7110,1
2,1,0,-3242,-3031,-1149,0
9,1,0,7068,3529,2837,1
-3,-2,0,-1893,-2406,-6693,0
3,-1,0,2536,1112,968,1
-10,-1,0,-2390,-4325,-4390,0
10,2,1,3292,1990,6081,1
3,-2,0,2723,1052,-561,0
-3,-2,0,-1435,-440,-5891,0
5,0,0,1760,2845,-1121,1
-3,2,0,793,696,-5880,0
6,1,0,4486,2176,5187,1
11,1,0,6989,3506,8760,1
4,-1,1,2619,505,1325,1
-1,0,0,-3846,-4577,-6951,0
-4,0,0,-3309,556,-1016,0
2,1,0,1015,-3107,10827,0
6,2,0,4532,3124,1988,1
0,1,0,397,-355,-746,1
8,2,0,7778,2660,1183,1
-5,-2,0,-2360,296,-5718,0
-2,1,0,-978,-1385,3821,0
-8,-2,0,-6357,-4764,-11879,0
8,0,0,8524,5575,10822,1
4,0,1,766,2779,5894,1
12,2,1,4888,3902,16274,1
11,1,0,5816,2061,12316,0
-20,-1,0,-12499,-9918,-12134,0
-3,0,0,2038,576,-155,0
1,0,0,943,-175,-1750,1
5,-2,0,5852,6001,-3104,1
-5,2,-1,-3388,-2582,-7094,0
14,2,1,8861,6731,9301,1
-1,-2,1,760,1557,-5674,0
5,0,0,3556,3509,1858,0
-8,1,-1,-4100,-4405,-9394,0
1,1,1,506,1467,-2783,1
-11,-1,0,-7070,-5956,-1897,0
3,1,0,1993,1509,3647,1
-7,-1,0,-1128,-1425,-2431,0
10,2,0,3714,3385,7983,1
-1,-2,1,-2654,-2767,-10763,0
2,2,0,3222,2150,10301,1
6,2,1,1816,3667,9180,1
-1,-1,0,-1622,-696,-5609,0
-6,0,1,2078,-44,1746,1
-14,-1,0,-7910,-3825,-5946,0
1,-1,0,1071,-911,-2482,0
7,-1,-1,2389,1230,-831,0
-4,-1,0,-3591,-1737,97,0
0,0,0,-3351,-2539,1854,0
-6,-2,0,-4873,-2866,-4247,0
2,-2,0,1562,790,4592,0
3,1,1,4334,4004,3850,1
